"agricultural_veterinary_sciences","arts_design","business_management_law","education_training","engineering_technology","health_medicine","humanities_languages","ict","natural_sciences","social_behavioral_sciences","services","transport_safety_security_military","others"
"NA","NA","NA","NA","Industrial Engineering and Operations Research","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Manufacturing Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Materials","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Materials Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Materials Science","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Materials Science and Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Materials Science and NanoEngineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechanical and Aerospace Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechanical and Industrial Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechanical and Materials Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechanical Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechanical Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechanical Science and Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Metallurgical and Materials Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Metallurgical Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mining and Geological Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mining and Minerals Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mining Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","NanoEngineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Nuclear","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Nuclear and Radiological Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Nuclear Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Nuclear Science and Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Ocean Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Operations Research and Information Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Petroleum and Natural Gas Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Petroleum Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Plasma and Radiological Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Polymer Science and Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Quantitative Biosciences and Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Robotics","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Software Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Structural Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Sustainable Agriculture Systems","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Systems and Industrial Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Systems Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Systems Science and Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Technology Management","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Telecommunications Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Textile Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Transportation Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Agricultural Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Aircraft Maintenance Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Airport Engineering and Management","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Applied Geology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Architecture","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Artificial Intelligence","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Automation and Control","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Automation and Control Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Automation Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Automobile Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Automotive Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Automotive Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Automotive—Thermal Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Building Materials Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Building Services Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Chemical Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Civil and Industrial Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Civil Construction Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Civil Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Computer Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Computer Science","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Computer Science and Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Construction Economics","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Construction Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Construction Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Construction Management","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Construction Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Control and Automation","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Control and Automation Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Control Engineering and Automation","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Control Systems Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Cybersecurity","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Data Science","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electrical and Computer Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electrical and Electronic Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electrical and Electronic Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electrical and Electronics Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electrical Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electronic Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electronics - Telecommunications Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electronics and Telecommunication Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electronics and Telecommunications","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electronics and Telecommunications Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electronics and Telecommunications Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Electronics Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Engineering Surveying and Cartography","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Engineering Technology and Automation Control","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Environmental Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Environmental Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Fisheries-Related Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Food and Agricultural Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Food Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Food Safety and Quality Assurance","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Food Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Forest Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Garment Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Geological Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Geophysical Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Geospatial Information Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Geotechnical Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Hydraulic Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Hydraulic Structures Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Hydrogeology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Industrial Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Industrial Power","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Information and Communication Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Information Systems","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Information Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Information Technology Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Information Technology in Geology and Mining","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Infrastructure Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Land Resource Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Landscape Architecture","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Logistics Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Machine Manufacturing Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Manufacturing Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Manufacturing Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Marine Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Materials Science and Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechanical Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechanical Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechatronic Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechatronic Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechatronics","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechatronics Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mechatronics Engineering Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mineral Processing Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Mining Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Nautical Science","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Naval Architecture and Marine Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Nuclear Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Petroleum Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Post-Harvest Technolog","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Post-Harvest Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Power Systems Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","railway Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Renewable Energy Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Robotics and Intelligent Control Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Robotics Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Shipbuilding Technology","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Software Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Surveying and Cartography","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Surveying and Mapping","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Telecommunication Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Telecommunications Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Thermal Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Transport Construction Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Transportation Construction Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Transportation Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Urban Infrastructure Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Urban Planning","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Water Resources and Environment Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Water Resources Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Water Supply and Drainage Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Water Supply and Sewerage Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","Wood Processing Engineering","NA","NA","NA","NA","NA","NA","NA","NA"
